,batch_tag,tissue,sorting_time,seq_batch,experiment,aggr.gpr25_all
JuPa08_Mo_KO_CD8_1H,D,Lung,30,6&7,5,1
JuPa08_Mo_WT_CD8_1H,D,Lung,30,6&7,5,1
