,batch_tag,tissue,sorting_time,seq_batch,experiment,aggr.gpr25_all
JuPa03_Mo_WT_CD8_3H,B,Multiple,30,3,1,1
JuPa03_Mo_KO_CD8_3H,B,Multiple,30,3,1,1
